id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,League,tackles
14012,Fábio Cardoso,4,309,0,0.0,0,0.0,0,0,0,0,D,Sevilla,0,0.0,0.2649941742420196,0.2649941742420196,La_Liga,3
14018,Lucas Ahijado,15,973,0,1.077176619321108,1,1.3409880846738815,8,8,2,0,D S,Real Oviedo,0,1.077176619321108,4.3753247037529945,2.797293933108449,La_Liga,27
14086,Alex Sancris,15,628,0,0.3494899617508054,1,0.989602810703218,11,8,1,1,F M S,Getafe,0,0.3494899617508054,0.8718908708542585,0.4326532557606697,La_Liga,5
14089,Lancinet Kourouma,5,23,0,0.0,0,0.0,0,0,0,1,S,Girona,0,0.0,0.0,0.0,La_Liga,0
14116,Diego Morcillo,1,8,0,0.5672497153282166,0,0.0,1,0,0,0,S,Alaves,0,0.5672497153282166,0.6797209978103638,0.112471267580986,La_Liga,0
14167,Selton Sánchez,7,191,0,0.2842219620943069,1,0.1571777909994125,4,4,0,0,M S,Athletic Club,0,0.2842219620943069,1.3910062201321125,0.949606478214264,La_Liga,2
14173,Pablo Agudín,4,46,0,0.0426228204742074,0,0.0,2,0,0,0,S,Real Oviedo,0,0.0426228204742074,0.0299487896263599,0.0,La_Liga,0
14183,Asier Hierro,1,30,0,0.0869530513882637,0,0.0195711869746446,1,1,0,0,S,Athletic Club,0,0.0869530513882637,0.1065242365002632,0.0,La_Liga,0
14202,Jorge Montes,1,24,0,0.0,0,0.0,0,1,0,0,S,Getafe,0,0.0,0.0,0.0,La_Liga,2
14205,Tomás Marqués,1,3,0,0.0,0,0.0,0,0,0,0,S,Barcelona,0,0.0,0.0,0.0,La_Liga,0
14208,Gorka Carrera,1,8,0,0.0,0,0.0,0,0,0,0,S,Real Sociedad,0,0.0,0.0185927096754312,0.0185927096754312,La_Liga,0
14216,Eder García,2,30,0,0.0365744195878505,0,0.0,1,0,1,0,S,Athletic Club,0,0.0365744195878505,0.0672711096704006,0.03069669008255,La_Liga,0
14221,Carlos Macià,4,64,0,0.0231574438512325,0,0.0,1,0,1,0,S,Villarreal,0,0.0231574438512325,0.0448665767908096,0.0217091329395771,La_Liga,0
14222,Aitor Mañas,6,58,0,0.5702066421508789,0,0.0306509360671043,1,2,0,0,S,Alaves,0,0.5702066421508789,0.2890326306223869,0.2583816945552826,La_Liga,2
14227,Juan Arango,2,14,0,0.0,0,0.0,0,0,1,0,S,Girona,0,0.0,0.0,0.0,La_Liga,0
14246,Jorge Cestero,2,8,0,0.0,0,0.0,0,0,0,0,S,Real Madrid,0,0.0,0.0,0.0,La_Liga,0
14258,Kareem Tunde,11,687,0,0.4318553917109966,0,0.5041966401040554,11,3,1,0,M S,Levante,0,0.4318553917109966,1.8389179510995743,1.1556425020098686,La_Liga,7
14259,Lander Astiazarán,1,1,0,0.0211206022650003,0,0.0,1,0,0,0,S,Real Sociedad,0,0.0211206022650003,0.0,0.0,La_Liga,0
14287,Alejandro Mestanza,3,68,0,0.0186938811093568,0,0.0,1,0,0,0,M S,Getafe,0,0.0186938811093568,0.0623364271596074,0.0436425460502505,La_Liga,1
